date,close,volume,open,high,low
2015/04/23,212.28,1892946,213.24,215.36,212.12
2015/04/22,213.37,1609729,214.44,215.25,212.26
2015/04/21,212.845,2488298,214.52,217.47,212.74
2015/04/20,211.86,3161901,209.18,213.22,208.5
2015/04/17,207.87,4168920,204.04,208.09,202.68
2015/04/16,206.9,4045272,210.3,211.55,206.36
2015/04/15,210.77,3211123,214.35,214.715,209.05
2015/04/14,213.91,2454652,215.4,216.165,211.6
2015/04/13,215.4,2976325,216.59,218.88,215.25
2015/04/10,214.79,3082318,219.16,220.1,214.71
2015/04/09,218.475,5972347,215.4,220.75,215
2015/04/08,212.84,5220090,207,214.17,206.5016
2015/04/07,203.865,2029997,205.09,205.58,203.8
2015/04/06,203.6,4128471,204.59,205.4,202.27
2015/04/02,208.51,1781198,210.81,211.6,208.51
2015/04/01,211.07,2556693,210.14,211.5,208.15
2015/03/31,208.4,1838089,210,212.73,208.4
2015/03/30,210.54,2053086,209.4,210.74,207.64
2015/03/27,207.33,2607979,204.98,207.765,204.05
2015/03/26,205.44,2964833,205,207.675,204.06
2015/03/25,207.74,4153323,208.22,211.11,205.7
2015/03/24,213.6,1923926,216,218.5595,213.53
2015/03/23,216.78,2184653,212.97,217.74,211.5
2015/03/20,212.69,2175014,217.03,217.05,212.57
2015/03/19,214.57,2915042,210.77,215.24,210.16
2015/03/18,210.95,3593340,202.54,211,202.2
2015/03/17,203.265,2999341,204.56,206.49,202.51
2015/03/16,205.3,1804796,205.12,206.45,203.2
2015/03/13,204.445,1542383,203.4,205.625,202.5
2015/03/12,203.39,2220450,205.7,206.77,202.5
2015/03/11,204.38,3055015,210.17,210.53,204
2015/03/10,210.39,1873236,209.88,212.87,208.995
2015/03/09,211.615,1739579,212,212.705,209.35
2015/03/06,213.31,3174515,215.1,217.85,212.71
2015/03/05,214.23,3815646,207.75,214.57,207.21
2015/03/04,207.69,1691584,205.2,208.42,205.03
2015/03/03,206.34,2312472,204.5,207.4,204.5
2015/03/02,205.04,2018860,204.19,205.52,202.2
2015/02/27,203.75,2394775,205.5,207.462,202.6
2015/02/26,205.88,2718328,204.75,206.629,203.53
2015/02/25,203.53,2888207,208.83,209.77,202.7
2015/02/24,208.06,1995242,206.53,209,205.18
2015/02/23,206.43,3173771,209.4,211,205.54
2015/02/20,209.63,2189774,208.23,210.17,207.32
2015/02/19,207.24,1705324,207.4,208.76,206.51
2015/02/18,207.15,2739539,208.15,210.03,206.57
2015/02/17,208.81,4492075,213.74,213.74,206.48
2015/02/13,212.13,7758799,207.45,216.6899,207.25
2015/02/12,205.02,14184200,203.8,206.97,199.7
2015/02/11,214.67,6439022,219.68,219.89,214.03
2015/02/10,219.44,3567773,217.78,220.83,215.7
2015/02/09,215.03,3290222,211,215.35,210.854
2015/02/06,211.78,2967983,217.26,217.5,211.379
2015/02/05,216.8,1978539,217.35,219.19,216
2015/02/04,217.24,2716355,216.97,219.93,216
2015/02/03,217.16,2713396,218.06,219.36,215.25
2015/02/02,217.595,2377577,218.77,219.95,213.25
2015/01/30,217.92,2078076,218.99,221.52,217.29
